sample_id,character_name,prediction,confidence,rationale_length,evidence_count,rationale_type
sample_001,Edmond Dantès,0,0.85,245,3,evidence_based
sample_002,Jacques Paganel,1,0.72,198,3,pattern_matching
sample_003,Count of Monte Cristo,1,0.91,212,3,semantic_similarity
sample_004,Mercédès,1,0.68,189,2,temporal_consistency
sample_005,Fernand Mondego,0,0.79,234,4,evidence_based
sample_006,Albert de Morcerf,1,0.83,201,3,pattern_matching
sample_007,Haydée,1,0.76,187,2,semantic_similarity
sample_008,Danglars,0,0.88,256,4,evidence_based
sample_009,Maximilian Morrel,1,0.71,195,3,temporal_consistency
sample_010,Eugénie Danglars,0,0.64,178,2,pattern_matching
